#----------------------------------------------------------------------------------------------------------------------------#
# <E>         E_min       E_max    dE         (dN/dE & Err or UL & 0.0)     NOn  Err      NOff  Err      alpha      sign     T
# TeV          TeV        TeV      TeV              1/cm^2/s/TeV                                                    sigma    s
  0.282    0.2    0.398    0.199	 2.179e+00   0.0          	 0.0 0.0       3.0 1.7     0.17       -1.0       520.9
  0.562    0.398    0.794    0.396	 1.903e-12   8.135e-13 (7.754e-13, 8.538e-13)        	 35.0 5.9       123.0 11.1     0.17       2.7       22651.1
  1.122    0.794    1.585    0.791	 3.504e-13   1.862e-13 (1.740e-13, 1.993e-13)        	 18.0 4.2       58.0 7.6     0.17       2.2       24210.6
  2.239    1.585    3.162    1.577	 1.408e-13   5.214e-14 (4.668e-14, 5.795e-14)        	 9.0 3.0       5.0 2.2     0.17       4.3       24210.6
  4.467    3.162    6.310    3.147	 3.589e-14   0.0          	 1.0 1.0       2.0 1.4     0.17       0.8       24210.6
