energy energy_min energy_max de dnde dnde_error non non_err noff noff_err alpha sign T
0.562 0.398 0.794 0.396 3.769e-12 0.0 19.0 4.4 83.0 9.1 0.17 1.2 17803.1
1.122 0.794 1.585 0.791 7.337e-13 0.0 9.0 3.0 35.0 5.9 0.17 1.1 20968.2
2.239 1.585 3.162 1.577 4.780e-14 0.0 3.0 1.7 4.0 2.0 0.17 1.8 20968.2
4.467 3.162 6.310 3.147 3.922e-14 0.0 1.0 1.0 3.0 1.7 0.17 0.6 20968.2
8.913 6.310 12.589 6.280 9.174e-15 0.0 0.0 0.0 1.0 1.0 0.17 -0.6 20968.2
141.254 100.000 199.526 99.526 7.123e-16 0.0 1.0 1.0 1.0 1.0 0.17 1.2 20968.2
