energy flux flux_err
3.12 5.409108489482881e-13 1.40983531747296e-13
3.24 1.0551454571602561e-12 2.56732781716992e-13
3.32 1.0642137768339841e-12 2.54297473253376e-13
3.42 6.53255473598784e-13 1.6069831506624e-13
3.54 6.487533572943361e-13 1.561433269333056e-13
3.66 9.078413386439041e-13 1.8681379398528e-13
3.78 8.945592944574721e-13 1.8550000915622403e-13
3.92 7.45012128672e-13 1.454968632880896e-13
4.06 6.83536611731904e-13 1.6411095126854399e-13
4.18 6.2316659666016e-13 1.570966220226816e-13
4.28 1.02955869652608e-12 2.3608072507488e-13
4.38 7.096681124171521e-13 1.6334190649056e-13
4.5 7.358476784010241e-13 1.6986276533721602e-13
4.62 9.33684447537408e-13 1.86717663388032e-13
4.74 1.130688084830976e-12 2.11102791556608e-13
4.86 9.21988558205568e-13 1.91267844991104e-13
4.98 9.84153011092608e-13 1.98365487421248e-13
5.12 7.29326819554368e-13 1.4885021895542402e-13
5.26 8.694692085757441e-13 1.9562576539968002e-13
5.38 9.5297465405184e-13 2.02082537181504e-13
5.5 9.1548372112512e-13 2.02242754843584e-13
5.62 1.095904830393408e-12 2.1746343274118402e-13
5.76 7.596079576874881e-13 1.61082837455232e-13
5.92 7.094598294564481e-13 1.62604905244992e-13
6.08 6.42184433149056e-13 1.567265192232768e-13
6.2 1.360680538746816e-12 3.1844862515020804e-13
6.3 9.18031181952192e-13 2.1174366220492801e-13
6.44 7.52318054062848e-13 1.71464941958016e-13
6.6 7.247926597175041e-13 1.7319529270848e-13
6.76 8.649030052064641e-13 1.910595620304e-13
6.92 9.49481909018496e-13 2.0134553593593603e-13
7.08 8.2704357165696e-13 1.9615448368454402e-13
7.24 8.79659051884032e-13 2.02467059570496e-13
7.38 1.428004000352832e-12 2.9520104238240003e-13
7.52 1.1176143236052479e-12 2.38291728811584e-13
7.68 9.9391026671328e-13 2.3215539235392e-13
7.86 7.0423673367264e-13 1.7518199171827198e-13
8.06 8.39364309870912e-13 1.9565780893209602e-13
8.26 9.65567762291328e-13 2.1198398869804803e-13
8.46 8.15315638792704e-13 2.0804263421088002e-13
8.66 9.428809413408002e-13 2.1978658884134403e-13
8.84 1.111606161277248e-12 2.64663555989952e-13
9.0 1.1631802267008e-12 2.80877583392448e-13
9.22 9.041563324160641e-13 1.89649646604096e-13
9.46 9.96009118086528e-13 2.39717666004096e-13
9.68 8.70638797508928e-13 2.0954868023443203e-13
9.96 6.84241569445056e-13 1.72121834372544e-13
10.22 1.21773434063904e-12 3.06320148130752e-13
10.46 1.0941744796429441e-12 2.4457226116512e-13
10.74 1.2219801086841602e-12 2.72418090834624e-13
11.02 1.040229192820608e-12 2.67691669803264e-13
11.3 1.304219834629824e-12 2.96066217757632e-13
11.62 1.134116742799488e-12 2.75029638726528e-13
12.08 7.19345259206784e-13 1.8944136364339201e-13
12.56 1.15460858177952e-12 2.90442577818624e-13
13.02 1.0846094852167681e-12 2.57245478235648e-13
13.52 1.3174217699852162e-12 3.15660837830016e-13
14.3 5.71079834717952e-13 1.6350212415264e-13
15.38 7.14971317032e-13 1.95129090647232e-13
16.38 9.32482815071808e-13 2.77785382514304e-13
17.22 1.409242512123264e-12 3.89296875321984e-13
18.3 7.74524222027136e-13 2.5730956530048003e-13
562000000.0 1.1153074712543816e-12 4.516894051005721e-13
1122000000.0 1.535507470822412e-12 4.3425030667025513e-13
2239000000.0 1.4971471411054984e-12 0.0
4467000000.0 5.300621835959934e-13 0.0
8913000000.0 8.405533198699882e-13 0.0
