energy size flux flux_error model
3.1200 0.080000 3.3761E-04 8.7995E-05 4.5333E-04
3.2400 0.040000 6.5857E-04 1.6024E-04 4.5696E-04
3.3200 0.040000 6.6423E-04 1.5872E-04 4.5930E-04
3.4200 0.060000 4.0773E-04 1.0030E-04 4.6214E-04
3.5400 0.060000 4.0492E-04 9.7457E-05 4.6549E-04
3.6600 0.060000 5.6663E-04 1.1660E-04 4.6875E-04
3.7800 0.060000 5.5834E-04 1.1578E-04 4.7192E-04
3.9200 0.080000 4.6500E-04 9.0812E-05 4.7551E-04
4.0600 0.060000 4.2663E-04 1.0243E-04 4.7902E-04
4.1800 0.060000 3.8895E-04 9.8052E-05 4.8195E-04
4.2800 0.040000 6.4260E-04 1.4735E-04 4.8435E-04
4.3800 0.060000 4.4294E-04 1.0195E-04 4.8668E-04
4.5000 0.060000 4.5928E-04 1.0602E-04 4.8944E-04
4.6200 0.060000 5.8276E-04 1.1654E-04 4.9214E-04
4.7400 0.060000 7.0572E-04 1.3176E-04 4.9479E-04
4.8600 0.060000 5.7546E-04 1.1938E-04 4.9738E-04
4.9800 0.060000 6.1426E-04 1.2381E-04 4.9992E-04
5.1200 0.080000 4.5521E-04 9.2905E-05 5.0282E-04
5.2600 0.060000 5.4268E-04 1.2210E-04 5.0567E-04
5.3800 0.060000 5.9480E-04 1.2613E-04 5.0806E-04
5.5000 0.060000 5.7140E-04 1.2623E-04 5.1041E-04
5.6200 0.060000 6.8401E-04 1.3573E-04 5.1272E-04
5.7600 0.080000 4.7411E-04 1.0054E-04 5.1536E-04
5.9200 0.080000 4.4281E-04 1.0149E-04 5.1832E-04
6.0800 0.080000 4.0082E-04 9.7821E-05 5.2122E-04
6.2000 0.040000 8.4927E-04 1.9876E-04 5.2336E-04
6.3000 0.060000 5.7299E-04 1.3216E-04 5.2511E-04
6.4400 0.080000 4.6956E-04 1.0702E-04 5.2752E-04
6.6000 0.080000 4.5238E-04 1.0810E-04 5.3024E-04
6.7600 0.080000 5.3983E-04 1.1925E-04 5.3290E-04
6.9200 0.080000 5.9262E-04 1.2567E-04 5.3551E-04
7.0800 0.080000 5.1620E-04 1.2243E-04 5.3808E-04
7.2400 0.080000 5.4904E-04 1.2637E-04 5.4060E-04
7.3800 0.060000 8.9129E-04 1.8425E-04 5.4277E-04
7.5200 0.080000 6.9756E-04 1.4873E-04 5.4490E-04
7.6800 0.080000 6.2035E-04 1.4490E-04 5.4731E-04
7.8600 0.10000 4.3955E-04 1.0934E-04 5.4996E-04
8.0600 0.10000 5.2389E-04 1.2212E-04 5.5286E-04
8.2600 0.10000 6.0266E-04 1.3231E-04 5.5570E-04
8.4600 0.10000 5.0888E-04 1.2985E-04 5.5848E-04
8.6600 0.10000 5.8850E-04 1.3718E-04 5.6122E-04
8.8400 0.080000 6.9381E-04 1.6519E-04 5.6364E-04
9.0000 0.080000 7.2600E-04 1.7531E-04 5.6576E-04
9.2200 0.14000 5.6433E-04 1.1837E-04 5.6861E-04
9.4600 0.10000 6.2166E-04 1.4962E-04 5.7168E-04
9.6800 0.12000 5.4341E-04 1.3079E-04 5.7443E-04
9.9600 0.16000 4.2707E-04 1.0743E-04 5.7786E-04
10.220 0.10000 7.6005E-04 1.9119E-04 5.8099E-04
10.460 0.14000 6.8293E-04 1.5265E-04 5.8381E-04
10.740 0.14000 7.6270E-04 1.7003E-04 5.8704E-04
11.020 0.14000 6.4926E-04 1.6708E-04 5.9021E-04
11.300 0.14000 8.1403E-04 1.8479E-04 5.9331E-04
11.620 0.18000 7.0786E-04 1.7166E-04 5.9678E-04
12.080 0.28000 4.4898E-04 1.1824E-04 6.0161E-04
12.560 0.20000 7.2065E-04 1.8128E-04 6.0656E-04
13.020 0.26000 6.7696E-04 1.6056E-04 6.1112E-04
13.520 0.24000 8.2227E-04 1.9702E-04 6.1597E-04
14.300 0.54000 3.5644E-04 1.0205E-04 6.2311E-04
15.380 0.54000 4.4625E-04 1.2179E-04 6.3269E-04
16.380 0.46000 5.8201E-04 1.7338E-04 6.4112E-04
17.220 0.38000 8.7958E-04 2.4298E-04 6.4789E-04
18.300 0.70000 4.8342E-04 1.6060E-04 6.5608E-04
