#----------------------------------------------------------------------------------------------------------------------------#
# <E>         E_min       E_max    dE         (dN/dE & Err or UL & 0.0)     NOn  Err      NOff  Err      alpha      sign     T
# TeV          TeV        TeV      TeV              1/cm^2/s/TeV                                                    sigma    s
  0.562    0.398    0.794    0.396	 3.770e-12   0.0          	 19.0 4.4       83.0 9.1     0.17       1.2       17803.1
  1.122    0.794    1.585    0.791	 7.140e-13   0.0          	 9.0 3.0       35.0 5.9     0.17       1.1       21388.4
  2.239    1.585    3.162    1.577	 6.653e-14   4.047e-14 (3.441e-14, 4.722e-14)        	 4.0 2.0       4.0 2.0     0.17       2.4       21388.4
  4.467    3.162    6.310    3.147	 3.845e-14   0.0          	 1.0 1.0       3.0 1.7     0.17       0.6       21388.4
  8.913    6.310    12.589    6.280	 9.035e-15   0.0          	 0.0 0.0       1.0 1.0     0.17       -0.6       21388.4
