energy size flux flux_error model
3.1200 0.080000 3.7285E-04 9.8940E-05 4.5869E-04
3.2800 0.080000 3.3271E-04 9.1468E-05 4.6352E-04
3.4400 0.080000 3.6202E-04 9.0212E-05 4.6816E-04
3.5800 0.060000 5.3749E-04 1.1820E-04 4.7210E-04
3.7000 0.060000 4.2326E-04 1.0824E-04 4.7536E-04
3.8200 0.060000 3.5247E-04 1.0305E-04 4.7855E-04
3.9200 0.040000 6.6020E-04 1.5957E-04 4.8115E-04
4.0400 0.080000 3.8955E-04 9.0233E-05 4.8417E-04
4.1800 0.060000 4.4819E-04 1.1408E-04 4.8765E-04
4.3000 0.060000 4.3813E-04 1.0985E-04 4.9054E-04
4.4000 0.040000 7.8040E-04 1.7253E-04 4.9291E-04
4.5000 0.060000 5.8273E-04 1.2348E-04 4.9523E-04
4.6200 0.060000 6.2641E-04 1.3032E-04 4.9796E-04
4.7600 0.080000 3.8259E-04 9.1483E-05 5.0107E-04
4.9000 0.060000 4.4237E-04 1.1409E-04 5.0412E-04
5.0400 0.080000 3.7969E-04 9.5619E-05 5.0709E-04
5.2000 0.080000 3.7410E-04 9.3798E-05 5.1042E-04
5.3200 0.040000 7.1445E-04 1.7701E-04 5.1287E-04
5.4200 0.060000 6.3152E-04 1.3635E-04 5.1487E-04
5.5400 0.060000 6.5352E-04 1.3858E-04 5.1723E-04
5.6400 0.040000 7.9787E-04 1.8979E-04 5.1917E-04
5.7400 0.060000 5.5265E-04 1.3212E-04 5.2108E-04
5.8600 0.060000 4.7235E-04 1.2922E-04 5.2334E-04
5.9800 0.060000 8.0180E-04 1.6029E-04 5.2556E-04
6.1000 0.060000 6.3563E-04 1.4696E-04 5.2775E-04
6.2200 0.060000 5.2922E-04 1.3764E-04 5.2990E-04
6.3400 0.060000 5.8482E-04 1.4392E-04 5.3202E-04
6.4600 0.060000 5.5977E-04 1.4380E-04 5.3411E-04
6.6000 0.080000 5.5912E-04 1.2361E-04 5.3650E-04
6.7400 0.060000 5.9132E-04 1.5191E-04 5.3887E-04
6.8600 0.060000 6.0019E-04 1.6053E-04 5.4086E-04
6.9800 0.060000 6.7978E-04 1.6800E-04 5.4283E-04
7.1200 0.080000 4.6517E-04 1.2756E-04 5.4508E-04
7.2600 0.060000 8.0463E-04 1.7680E-04 5.4731E-04
7.4000 0.080000 5.1009E-04 1.3477E-04 5.4949E-04
7.5400 0.060000 6.9301E-04 1.8024E-04 5.5165E-04
7.6800 0.080000 5.2800E-04 1.3904E-04 5.5377E-04
7.8200 0.060000 8.6554E-04 2.0343E-04 5.5587E-04
7.9600 0.080000 6.1055E-04 1.5435E-04 5.5794E-04
8.1200 0.080000 6.8297E-04 1.5808E-04 5.6026E-04
8.3000 0.10000 6.7061E-04 1.4845E-04 5.6283E-04
8.4800 0.080000 6.7495E-04 1.7063E-04 5.6537E-04
8.6400 0.080000 7.7078E-04 1.7469E-04 5.6758E-04
8.8600 0.14000 3.4085E-04 1.0385E-04 5.7056E-04
9.0800 0.080000 8.4999E-04 2.0533E-04 5.7350E-04
9.2800 0.12000 5.2261E-04 1.3709E-04 5.7611E-04
9.5000 0.10000 6.9194E-04 1.6724E-04 5.7895E-04
9.7000 0.10000 6.6717E-04 1.6728E-04 5.8148E-04
9.9400 0.14000 5.2039E-04 1.3263E-04 5.8444E-04
10.200 0.12000 7.3056E-04 1.8117E-04 5.8761E-04
10.460 0.14000 6.1638E-04 1.6089E-04 5.9071E-04
10.780 0.18000 5.4416E-04 1.4112E-04 5.9443E-04
11.100 0.14000 7.3461E-04 1.8200E-04 5.9809E-04
11.440 0.20000 5.5853E-04 1.4757E-04 6.0186E-04
11.820 0.18000 8.0019E-04 1.9341E-04 6.0599E-04
12.220 0.22000 5.8412E-04 1.6847E-04 6.1021E-04
12.680 0.24000 5.9931E-04 1.6829E-04 6.1494E-04
13.200 0.28000 5.7083E-04 1.6244E-04 6.2012E-04
13.800 0.32000 5.6728E-04 1.6585E-04 6.2590E-04
14.460 0.34000 6.2075E-04 1.7903E-04 6.3204E-04
15.100 0.30000 8.9854E-04 2.3454E-04 6.3780E-04
15.600 0.20000 0.0016524 3.9503E-04 6.4219E-04
16.140 0.34000 9.3406E-04 2.5295E-04 6.4674E-04
17.220 0.74000 3.5760E-04 1.4035E-04 6.5540E-04
18.560 0.60000 5.5686E-04 2.1855E-04 6.6584E-04
