energy flux flux_err
3.14 5.6459102405526e-13 1.36564729752258e-13
3.34 4.785701605757999e-13 1.22776397640054e-13
3.54 4.976841278194199e-13 1.2195127667354398e-13
3.72 5.344861251023999e-13 1.37383442012232e-13
3.9 4.5383255334683996e-13 1.1139133047884999e-13
4.08 5.290867898458199e-13 1.3167648884192398e-13
4.22 7.0851455108748e-13 1.7633556033803997e-13
4.38 4.2422432915051994e-13 1.17598162758966e-13
4.56 6.142424779429199e-13 1.4860348498013397e-13
4.7 7.887195133855199e-13 1.9347885032183997e-13
4.84 6.224776658416799e-13 1.4814045593290798e-13
5.0 7.680354130405799e-13 1.6951028787719998e-13
5.18 4.601771728174799e-13 1.3014801233308798e-13
5.36 6.012488254411799e-13 1.5711424725994199e-13
5.52 7.132249503914399e-13 1.725544234818e-13
5.7 5.726179289916e-13 1.3848413735978998e-13
5.86 1.0319779917257399e-12 2.3561609579603996e-13
6.0 7.9157138779404e-13 1.807255243152e-13
6.18 5.744764538870399e-13 1.4766300729597596e-13
6.36 8.092113525343799e-13 1.8974577876461997e-13
6.52 7.704066344588999e-13 1.9173247779077998e-13
6.68 1.0580293837945798e-12 2.1930593766191998e-13
6.86 6.872216236216199e-13 1.6858102542947997e-13
7.08 5.815740963756599e-13 1.5172292288653196e-13
7.3 9.833198873511598e-13 2.0430956436767998e-13
7.46 1.5730650845602198e-12 3.4683919772831996e-13
7.62 8.148189707533798e-13 1.9685944301957997e-13
7.84 6.678513081165599e-13 1.7699245275798e-13
8.08 7.511164277855399e-13 1.8436246527437997e-13
8.3 9.068319748439998e-13 2.1868108877465996e-13
8.56 5.301282046579199e-13 1.4573719098190797e-13
8.8 1.5344366059144798e-12 3.2923127652065996e-13
9.02 6.945435708389999e-13 1.8149456909951999e-13
9.28 8.903615990464798e-13 2.2159705024853995e-13
9.56 8.142582089314799e-13 1.8884855984957996e-13
9.82 1.3598153745748198e-12 3.0524669230968e-13
10.12 6.049338316993799e-13 1.7470134017135996e-13
10.48 1.0221406271929799e-12 2.4719983285985993e-13
10.86 7.680514348069199e-13 1.9131591186593996e-13
11.34 7.258661240336999e-13 1.8657346902929997e-13
11.9 6.700142465724599e-13 1.9419982980713998e-13
12.5 8.263065772191599e-13 2.1956228592335998e-13
13.0 1.4540714259530398e-12 3.6188363632157994e-13
13.44 1.3700853267987598e-12 3.3562396129031995e-13
13.92 1.4417667094039199e-12 3.8904053026787997e-13
14.52 1.0997019980449198e-12 2.8267202353661996e-13
15.22 1.3091385276413997e-12 3.4209675489167994e-13
16.1 8.399891656735199e-13 2.5729354565406e-13
17.36 6.936143083912799e-13 2.4431591491866e-13
18.7 1.1734181449752599e-12 3.5276725127411997e-13
562000000.0 1.9077627954948924e-12 0.0
1122000000.0 1.4401055342175497e-12 0.0
2239000000.0 5.343626615792667e-13 3.2505120868950734e-13
4467000000.0 1.2292455444619942e-12 0.0
8913000000.0 1.1499696104775918e-12 0.0
