energy flux flux_err
3.06 6.72337397152512e-13 1.5528456026455682e-13
3.2 6.059912632851841e-13 1.2341085857036162e-13
3.36 5.641103664174721e-13 1.1357990282513279e-13
3.52 6.080260275936001e-13 1.168675692510144e-13
3.66 7.221811118256e-13 1.460255815729536e-13
3.8 6.31033283868288e-13 1.175308703720256e-13
3.96 5.942312868885121e-13 1.133027262697344e-13
4.12 7.00455596847552e-13 1.2315451031103359e-13
4.24 9.12743999103552e-13 1.9674728903424002e-13
4.34 8.42488554281472e-13 1.5539350827477122e-13
4.46 8.99638194345408e-13 1.6242866581670399e-13
4.58 6.20907527624832e-13 1.36777818117696e-13
4.7 7.42304450182848e-13 1.5064305459409922e-13
4.82 9.37850106751488e-13 1.69221894688896e-13
4.94 9.286375911818881e-13 1.69814700038592e-13
5.04 9.77616130479744e-13 2.1566899492588798e-13
5.12 8.401493764151039e-13 1.9839753095366402e-13
5.2 6.7363516021536e-13 1.84138159028544e-13
5.28 9.423842665883522e-13 2.13794448279552e-13
5.38 7.82374887469056e-13 1.63630298282304e-13
5.5 7.054864314368641e-13 1.5694922177356802e-13
5.62 9.973869899804161e-13 1.84538703183744e-13
5.74 8.94639403288512e-13 1.76111254158336e-13
5.86 7.23655114316736e-13 1.6265297054361602e-13
6.0 7.50972225701376e-13 1.449553275902592e-13
6.14 7.9732319534112e-13 1.74621229900992e-13
6.26 7.13785706332608e-13 1.67139065081856e-13
6.36 1.122452897000064e-12 2.5562727984864e-13
6.44 1.093950174916032e-12 2.53272080216064e-13
6.54 9.48744907772928e-13 1.9629867958041603e-13
6.66 7.694132786067841e-13 1.8027691337241602e-13
6.78 1.181797519034496e-12 2.2110037367039999e-13
6.9 6.87798401543232e-13 1.75726731769344e-13
7.02 1.099381553660544e-12 2.20427459489664e-13
7.14 1.033836508103616e-12 2.17751824532928e-13
7.24 1.0902811904544001e-12 2.7509372579136e-13
7.34 8.59151191137792e-13 2.0299577785536e-13
7.48 8.580296675032321e-13 1.7872280205024e-13
7.62 1.139419947414336e-12 2.4016627545792004e-13
7.72 1.33709649888864e-12 3.20130910602048e-13
7.82 8.49442000815744e-13 2.1171161867251199e-13
7.96 1.0615862071758721e-12 2.0732165473152002e-13
8.1 1.272240389278656e-12 2.6371827178367997e-13
8.24 1.039508213341248e-12 2.11263009218688e-13
8.38 1.128188689302528e-12 2.5506651803136e-13
8.5 1.20627877780032e-12 2.6748338684256e-13
8.62 1.0479516841328641e-12 2.54521777980288e-13
8.74 1.139211664453632e-12 2.6700273385632003e-13
8.86 9.73546601862912e-13 2.52294752477376e-13
8.98 9.595595999633282e-13 2.50404184064832e-13
9.1 1.2746596759760642e-12 2.939994099168e-13
9.24 6.94928087505792e-13 1.91444084419392e-13
9.4 1.02563336380512e-12 2.34110047831296e-13
9.56 9.967941846307201e-13 2.36305029801792e-13
9.72 1.127724058082496e-12 2.571493476384e-13
9.86 1.44692570624448e-12 3.40478553686208e-13
10.04 7.039643636471041e-13 1.77312886623936e-13
10.26 1.253975575801536e-12 2.67339190946688e-13
10.46 1.057724961519744e-12 2.5266325310016e-13
10.64 1.3207863408888961e-12 3.19538105252352e-13
10.8 1.372889124597312e-12 3.31394212246272e-13
11.02 9.25865825627904e-13 2.15124254874816e-13
11.26 1.190833795175808e-12 2.91852493244928e-13
11.46 1.2368803512576e-12 3.14459205364416e-13
11.72 1.0462533769148161e-12 2.4104747259936e-13
12.02 1.064758516885056e-12 2.7272250439257604e-13
12.32 8.6301243679392e-13 2.39461317744768e-13
12.62 1.16934860669088e-12 2.98261199728128e-13
12.94 9.048612901292161e-13 2.47760592640512e-13
13.28 1.0880701867176959e-12 2.93727039891264e-13
13.62 1.003106760516672e-12 2.84834959645824e-13
14.0 1.199501570694336e-12 3.04301405588544e-13
14.38 1.060224357048192e-12 3.13001224639488e-13
14.82 9.4264061484768e-13 2.59648743166848e-13
15.18 2.8190297642976002e-12 7.237832884464e-13
15.52 1.110532702941312e-12 3.1207196219942403e-13
15.9 2.55515127485184e-12 6.26547189330048e-13
16.34 1.244714994933312e-12 3.24873353399616e-13
16.82 2.0759402475705603e-12 5.447720946044161e-13
17.22 1.6959039531168001e-12 4.6375002289056e-13
17.7 1.7354777156505602e-12 4.52566830077376e-13
18.34 1.116604952334144e-12 3.25610354645184e-13
18.98 1.82616091238784e-12 5.29230981382656e-13
19.62 1.5896956649239683e-12 4.369936733232e-13
20.36 1.61803816934592e-12 4.75109455132032e-13
21.14 1.541261865677184e-12 4.60321364922048e-13
22.44 1.105918434273408e-12 3.2301482851948797e-13
24.34 1.335606474631296e-12 4.07785993526016e-13
26.7 1.5964888937961601e-12 4.85587690232064e-13
279085324.48218346 1.1585114813799475e-12 6.581662860862909e-13
556848430.6001621 1.3313878809084962e-12 4.2899453677298697e-13
1111059712.0494082 1.186808345511264e-12 4.4517303446963644e-13
