# ObsId      Obs_MJD        log10(Flux 0.3-10 keV / (1erg/cm2/s) )  log10(Flux_min)  log10(Flux_max)
ObsID         MJD              Flux      Flux_min   Flux_max
00090417014  55479.1109571713  -12.1541 -12.25884022 -12.04376282
00090417015  55486.4636750841  -11.9629 -12.05779788 -11.86555963
00090417016  55493.3694250477  -12.1067 -12.20281485 -12.0073178
00090417017  55500.0457058364  -12.0743 -12.16181565 -11.98577279
00090417018  55507.0148761493  -12.0519 -12.1337849 -11.96750208
00090417019  55514.0398166646  -11.9758 -12.07059979 -11.88152895
00090417020  55520.720869591  -11.9247 -12.00952234 -11.83598684
00090417021  55528.0303422459  -11.8084 -11.88271701 -11.73477643
00031329070  55535.3116918984  -11.7749 -11.89005763 -11.70042131
00031329071  55542.4917568632  -11.8276 -11.91773985 -11.73549722
00031329072  55550.2433881005  -11.8705 -11.98184266 -11.75750942
00031329074  55558.0163095077  -11.8253 -11.92036976 -11.72800845
00031329075  55563.6864514007  -11.7749 -11.85572611 -11.69287575
00031329076  55570.1760478172  -11.7247 -11.80138459 -11.64693013
00031329077  55577.3400341683  -11.7824 -11.88712644 -11.67925688
00031329078  55584.6935872547  -11.7863 -11.86502578 -11.70604247
00031329079  55588.1816357632  -11.5798 -11.64446563 -11.5140981
00031329080  55591.1205501813  -11.6085 -11.67255667 -11.5444906
00031329081  55595.1288560646  -11.5076 -11.5616686 -11.45375566
00031329082  55598.1489234852  -11.4658 -11.51208146 -11.41925629
00031329083  55602.436841707  -11.3493 -11.42289008 -11.27313163
cha          55605              -11.46  -11.47       -11.45
00031329084  55605.0405527042  -11.4171 -11.46601933 -11.36797464
00031329085  55609.0572336352  -11.5689 -11.6243313 -11.51338876
00031329086  55612.0570431243  -11.7832 -11.84776532 -11.71750425
00031329087  55616.2842379746  -12.0158 -12.12556653 -11.90235008
00031329088  55619.0912610644  -11.883 -11.9518171 -11.81336633
00031329089  55623.1013539799  -12.0568 -12.23781074 -11.92306226
00031329090  55626.2408120426  -12.43 -12.60071694 -12.23300877
00031329091  55630.0560617199  -12.65 -12.86540635 -12.39874102
00031329092  55637.3520248811  -12.2613 -12.41923451 -12.09980976
00031329093  55640.3602106713  -12.3006 -12.39656231 -12.2015657
00031329094  55647.318406978  -11.8551 -12.02021221 -11.74185563
00031329095  55654.1429185199  -12.1891 -12.28442577 -12.09149322
00031329096  55663.182015682  -11.979 -12.10797172 -11.84822072
00031329097  55668.7955783424  -11.9094 -11.99109201 -11.82650214
00031329098  55675.0157345463  -11.8283 -11.92346804 -11.72940687
00031329099  55677.2901033672  -12.0042 -12.07150874 -11.93590554
00031329100  55682.1845391401  -11.8139 -11.88611909 -11.74094852
00031329101  55690.2810759852  -11.7331 -11.80150385 -11.66359457
00031329102  55695.019475922  -11.6565 -11.71770378 -11.59518997
00031329103  55789.431872298  -12.0448 -12.13387545 -11.95411851
00031329104  55799.6537773531  -11.9372 -12.08510805 -11.84873057
00031329105  55809.0121952919  -11.9565 -12.10964244 -11.85434976
00031329106  55819.1919436836  -11.9686 -12.0673133 -11.86586222
00031329107  55829.1538907607  -12.0909 -12.17704372 -12.00237579
00031329108  55836.6344046704  -12.0111 -12.08274576 -11.93731937
00031329109  55843.0782631065  -11.5472 -11.66238064 -11.43420756
00031329110  55846.3523609429  -11.9047 -12.00844819 -11.80104613
00031329111  55850.5623097454  -11.8413 -11.92947386 -11.75181979
00031329112  55857.4393488044  -11.6799 -11.79193616 -11.56318738
00031329113  55864.0564551729  -11.7873 -11.86136988 -11.71326399
00031329114  55871.1530574257  -11.8602 -11.92956944 -11.78949212
00031329115  55878.3711363903  -11.888 -11.97130164 -11.80416219
00031329116  55885.0692402415  -11.8233 -11.90017428 -11.74393536
00031329117  55892.3434276403  -11.7495 -11.81433804 -11.68392218
00031329118  55896.2893162644  -11.7046 -11.78070573 -11.62707922
00031329119  55900.3214528808  -11.5736 -11.66687889 -11.47645238
00031329120  55904.0596942299  -11.4542 -11.5318286 -11.37674643
00031329121  55909.6611176225  -11.6839 -11.75263005 -11.61425624
00031329122  55912.2018328669  -11.7068 -11.78477606 -11.62735267
00031329123  55916.2810807871  -11.6672 -11.73898833 -11.59405925
00031329124  55920.3093348051  -11.7536 -11.83807702 -11.667787
00031329125  55924.2368859007  -11.7844 -11.92944168 -11.63375176
00031329126  55928.3242952475  -11.7741 -11.86729261 -11.68272885
00031329127  55932.0057866637  -12.4712 -12.63341114 -12.28631325
00031329128  55936.4818187107  -12.2379 -12.36578006 -12.10422364
00031329129  55940.2143535868  -12.1768 -12.39247679 -12.09574442
00031329132  55948.1041572271  -12.1229 -12.22370362 -12.01697326
00031329133  55952.1156315067  -12.2515 -12.3776932 -12.12421291
00031329134  55956.2745945216  -12.2605 -12.36249052 -12.15647679
00031329135  55960.0189811121  -12.1065 -12.198746 -12.01645776
00031329136  55964.0294277861  -12.2111 -12.29876868 -12.1266915
00031329137  55968.2926681938  -12.0781 -12.16058412 -11.99318442
00031329138  55972.2542678084  -11.8696 -11.99607196 -11.74196527
00031329139  55982.0627937686  -11.9129 -12.05095124 -11.77365066
00031329140  55992.3091289248  -11.547 -11.63883222 -11.45589997
00031329141  55996.3753888764  -11.876 -11.94632768 -11.80475943
00031329142  56002.3925223871  -11.7422 -11.80770358 -11.67576243
00031329143  56012.0255936898  -11.5738 -11.64208749 -11.50455217
00031329144  56022.1030533271  -11.609 -11.67419313 -11.54320888
00031329145  56032.4706152963  -11.4931 -11.55300947 -11.43330276
00031329146  56041.0183790767  -11.6558 -11.71771412 -11.59294735
00031329147  56052.3814181767  -11.6745 -11.73271742 -11.61536948
00031329148  56060.2759412755  -11.613 -11.68832748 -11.53625225
00031329149  56247.8236848271  -11.7963 -11.87523251 -11.71505142
00031329150  56252.2982518301  -11.8253 -12.11755477 -11.63223749
00031329151  56255.3721339285  -11.7493 -11.85353692 -11.70744414
00031329152  56259.3795797199  -12.1782 -12.29370272 -12.05831276
00031329153  56264.3216031975  -12.2355 -12.43189472 -12.09885678
00031329154  56267.2771362702  -12.6174 -12.92362317 -12.425561
00031329155  56271.2889441732  -12.2996 -12.51813218 -12.08050322
00031329156  56275.2752681961  -12.339 -12.46942279 -12.20066359
00031329157  56279.28289265  -12.0055 -12.08905878 -11.92013792
00031329158  56283.2904273766  -11.8856 -12.013673 -11.80822219
00031329159  56322.6362750929  -11.6496 -11.73450194 -11.56351326
00031329160  56332.3133672523  -11.543 -11.59944147 -11.4857403
00031329161  56341.0620411246  -11.8057 -11.87040593 -11.7400902
00031329162  56352.2171987845  -11.6953 -11.75617472 -11.63367706
00031329163  56362.5657050431  -11.6091 -11.68206971 -11.53611364
00031329164  56382.0051024635  -11.6812 -11.73955292 -11.62186601
00031329165  56392.155341726  -11.782 -11.86049602 -11.70210989
00031329166  56402.0282191348  -11.7621 -11.84758241 -11.67649945
00031329167  56412.5190171202  -11.9274 -12.0105464 -11.84298394
00031329168  56423.196290663  -11.9629 -12.06111728 -11.85550825
00031329169  56652.2613813713  -11.5494 -11.59662934 -11.50160459
00031329170  56656.2621492327  -11.691 -11.77267308 -11.60669352
00031329171  56660.2642659204  -11.8101 -11.87821914 -11.74097466
00031329172  56663.2666940716  -11.8544 -11.92490122 -11.78237652
00031329173  56680.2119830908  -11.7879 -11.86963913 -11.70435499
00031329174  56684.1571652748  -11.7373 -11.8031134 -11.67396602
00031329175  56687.1545712422  -11.7298 -11.98880964 -11.43718277
00031329176  56708.1607048579  -11.9489 -12.02607107 -11.87036077
00031329177  56712.0930874716  -11.9742 -12.06440386 -11.88256416
00031329178  56715.0958723556  -11.9388 -12.07243191 -11.79933771
00031329179  56718.1712602794  -11.9899 -12.07806832 -11.8999628
00031329180  56739.1126978047  -11.8692 -11.97664015 -11.77732072
00031329182  56745.1131025349  -11.914 -12.01151856 -11.81400801
00031329183  56958.4241568318  -11.7445 -11.80658324 -11.68077323
00031329184  56961.4216710813  -11.5969 -11.68883235 -11.50220405
00031329185  56963.4215504514  -11.8143 -11.89955618 -11.72718908
00031329186  56965.4169529445  -11.5171 -11.59368152 -11.44044915
00031329187  56973.6773962033  -11.8329 -11.90458562 -11.76002177
00031329188  56980.3363806026  -11.7188 -11.80356779 -11.63068231
00031329189  56982.400339935  -11.8869 -12.04546199 -11.69635221
00031329190  56984.3315476551  -11.6234 -11.68202672 -11.56386589
00031329191  56986.3300596429  -11.7997 -11.86960837 -11.72849972
00031329192  56988.3321566118  -11.834 -11.90252225 -11.76442127
00031329193  57035.0704167996  -11.8832 -11.97747622 -11.78798852
00031329194  57037.2009786241  -12.0565 -12.16748932 -11.93471205
00031329195  57039.1318423748  -11.8162 -11.92829634 -11.70032583
00031329196  57043.79982146  -11.6989 -11.82545009 -11.57310162
00031329197  57046.8016475355  -11.9304 -12.02366735 -11.83458977
00031329198  57052.0540645994  -11.7897 -11.88146212 -11.69572784
00031329199  57360.3043961878  -11.7751 -11.85372893 -11.69526006
00031329200  57363.35939296  -11.8503 -12.03598889 -11.65212602
00031329201  57367.3412035412  -11.9145 -11.99359517 -11.83355838
00031329202  57371.3312378866  -12.023 -12.13177288 -11.90753928
00031329203  57389.2181749873  -11.8405 -11.96860017 -11.71032408
00031329204  57393.2691760676  -11.8405 -11.93050433 -11.74923015
00031329205  57397.1966206785  -12.0803 -12.16081764 -11.99756065
00031329206  57418.0857378857  -11.8072 -11.90232116 -11.71154114
00031329207  57422.1914117225  -11.7721 -11.86886974 -11.67896804
00031329208  57426.1766965408  -11.8294 -11.91177618 -11.74610143
00031329209  57770.0266368695  -11.7707 -11.84341108 -11.69690206
00031329210  57778.1872725778  -11.9329 -12.02319255 -11.83890811
00031329211  57782.2363446889  -11.8803 -11.96127432 -11.79861811
00031329212  57793.7373004577  -11.7326 -11.884556 -11.62008357
00031329213  57796.9857240956  -11.8565 -11.94986864 -11.76219764
00031329214  57801.0373100012  -11.6471 -11.73121679 -11.56115536
00031329215  57805.157076429  -11.6414 -11.71109708 -11.57102936
00031329216  57807.1506504604  -11.4598 -11.51855284 -11.40071993
00031329217  57809.5425255459  -11.7514 -11.83217751 -11.66789966
00031329218  57813.0030667572  -11.716 -11.92465572 -11.47656447
00031329220  57821.5042702771  -11.6606 -11.74475598 -11.57422561
00031329221  57825.4959740557  -11.7448 -11.83045878 -11.65493479
00031329223  57831.8744419954  -12.05 -12.1668293 -11.92259906
00031329224  57836.7915110141  -11.9844 -12.21469005 -11.85182127
00031329225  57840.0399716755  -12.4415 -12.71437382 -12.18500912
00031329226  57844.1564119271  -12.7170 -12.925 -12.5434
00031329227  57848.2758396769  -12.4857 -12.6735  -12.3232
00031329228  57852.4663980419  -12.3191 -12.56920816 -12.16163996 
00031329229  57856.4618860313  -12.2176 -12.47486443 -12.04860286
00031329230  57860.2350692241  -11.86  -11.945      -11.789 
# new
00088078001  58079.449572579  -11.7889 -11.84663362 -11.73069932
N1           58079.405        -11.76    -11.77      -11.75
N2           58101.286        -11.80    -11.81      -11.79
00031329231  58101.303634353  -11.6917 -11.76308217 -11.61987421
00088078002  58101.5015965862  -11.8144 -11.8854913 -11.74264393
00031329232  58102.3015485128  -11.8229 -11.94460308 -11.7224978
00031329233  58103.2960095836  -11.7408 -11.84598442 -11.66774686
00031329234  58104.3625637905  -11.97  -12.0664     -11.8806 
00031329236  58142.1536665278  -11.5898 -11.65133185 -11.52691417
00031329237  58143.8369864074  -11.5617 -11.67704734 -11.4397926
00031329238  58144.2218305209  -11.5474 -11.6581693 -11.42868944
00031329239  58144.83358526  -11.5237 -11.64395917 -11.39401572
00031329240  58145.3413774193  -11.3701 -11.48300881 -11.28490812
00031329241  58149.4790459331  -11.6823 -11.78226069 -11.57753196
00031329242  58151.2517081241  -11.6805 -11.78627202 -11.57231069
C2           58152.76          -12.23    -12.27      -12.19
00031329243  58153.3185857801  -11.9783 -12.1705     -11.8107 
C3           58153.50          -12.33    -12.37       -12.29
00031329244  58158.3714253188  -12.6383 -12.9349     -12.4004
00031329245  58163.2122078521  -12.0818 -12.42082915 -11.87843778
00031329246  58168.5269720616  -12.1085 -12.66191755 -11.86183912
